,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean Density,MagpieData mean CovalentRadius,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,PymatgenData mean X,PymatgenData mean atomic_mass,PymatgenData mean atomic_radius,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean Density_A,MagpieData mean NpValence_A,MagpieData mean NdValence_A,MagpieData mean NValence_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean FirstIonizationEnergy_B,MagpieData mean Density_B,MagpieData mean CovalentRadius_B,MagpieData mean NValence_B,PymatgenData mean X_B,PymatgenData mean atomic_mass_B,PymatgenData mean atomic_radius_B,DemlData mean molar_vol_B,MagpieData mean Polarizability_interface,MagpieData mean Density_interface,MagpieData mean NpValence_interface,MagpieData mean NdValence_interface,MagpieData mean NValence_interface,PymatgenData mean X_interface,PymatgenData mean atomic_radius_interface,DemlData mean molar_vol_interface
alphax_el,1.0,0.33046504326039294,0.4480717759340814,-0.46940343812993746,-0.2146968608036348,0.4709770053715378,0.656167303766236,-0.45075193720339946,0.16820194493843413,-0.1985069403854252,0.41553152270492905,0.44526202114180224,0.49112745882393954,0.4269372633310674,0.5726296735274771,0.019993762358034815,0.1554197544611789,-0.019984776938367442,0.03382776139447175,-0.7223548990564916,0.21366265798438128,0.4571546071823782,-0.33111747775963984,0.10333170856345725,0.4772895481061723,-0.6103259050611987,0.20770833401941058,0.3023218043682027,-0.506588244223857,0.3629206352408083,-0.08095150266766114,-0.3193786210764527,-0.021477746078562957,0.371036823196867,-0.3873558869138816,-0.43299619917846155,-0.25686432026316364,-0.01488279841958875,-0.3758597066747678,0.1033317085634572,0.47728954810617186,-0.6103259050611984,0.20770833401941058,0.3023218043682031,-0.506588244223857,0.3629206352408086,-0.08095150266766125
alphaz_el,0.33046504326039294,1.0,0.4008015963768204,-0.32181830654359617,-0.10253210715222273,0.4649063390727655,0.11936736544251345,-0.13805711558685077,0.4200934403705839,-0.09849673670288582,0.3600940217747398,0.4875456177375644,0.15414505549592641,0.3201150488674379,0.3115638811717347,0.21825419468186347,0.13653057132662677,0.1509294523755472,0.1703262082184629,-0.43193911385168965,0.2581803938876042,0.4352322173042469,-0.07009437637979868,0.09866568055422514,0.3805639097629512,-0.38794361210687334,0.19384631576798148,0.2719799512967442,-0.36285986760738137,0.3259740423494012,0.05203971197240446,-0.15557244075280463,-0.04529507786013592,-0.015324769202402352,-0.14750169364596985,-0.13143448747985223,-0.13922444907899587,0.04044169160057607,-0.17975379270474995,0.09866568055422434,0.380563909762951,-0.38794361210687395,0.19384631576798092,0.271979951296744,-0.36285986760738154,0.3259740423494005,0.05203971197240325
ehull,0.4480717759340814,0.4008015963768204,1.0,-0.28884753390342527,0.007567859606054406,0.5321236703586542,0.3813942730002414,-0.14300253840576949,0.4268670638058919,0.0037551182915872387,0.32063409498250345,0.5606063031758656,0.20139269515925987,0.3550767284777379,0.41231226693010187,0.08850310421141676,0.3072924677392276,0.18437806117469654,0.21266993947208812,-0.4567295140730404,0.32049079564408295,0.4387977523075934,-0.07978193372426352,-0.026335427215856643,0.3729155320151098,-0.4820617548804932,0.14907128753897997,0.29369920643420516,-0.3322219027675545,0.3105434746217253,-0.015733394681281668,-0.17893966996377603,0.01305637228209802,0.21676450195903435,-0.13382231167108014,-0.24842943706929915,-0.04853940640355786,0.09135412082423253,-0.09602495907429713,-0.0263354272158567,0.3729155320151097,-0.48206175488049346,0.14907128753897989,0.2936992064342052,-0.33222190276755453,0.3105434746217255,-0.01573339468128188
a,-0.46940343812993746,-0.32181830654359617,-0.28884753390342527,1.0,0.5654428128148531,-0.3509045458500164,-0.4180045181371774,0.7884253628787833,0.18354475882060656,0.5022080693673965,-0.6662920590470979,-0.4596185721093926,-0.6620511380030459,-0.22732920200627904,-0.2562337379916264,0.5033915244297051,0.04084428968745061,0.5162619324489377,0.46501898793298074,0.49167969699621294,0.3102748219842392,0.0784610886067904,0.8215842601129033,0.08647870144157677,-0.15875090557814117,0.4547002642636848,0.061641660370926395,-0.01894809398959983,0.2606152828522223,-0.026248093963906077,0.27122932947381545,0.4013893345516127,-0.11125697908141174,-0.4289976552853689,0.6370685622318729,0.4737987545013835,0.4700473788706486,0.24484837256296696,0.8306860762106834,0.08647870144157715,-0.15875090557814087,0.454700264263685,0.06164166037092665,-0.01894809398959979,0.26061528285222235,-0.026248093963906066,0.2712293294738164
dipole,-0.2146968608036348,-0.10253210715222273,0.007567859606054406,0.5654428128148531,1.0,-0.1002685203917277,-0.2827934883717488,0.6396384194096306,0.2896396210017193,0.7095377904454592,-0.4643822454130728,0.17687360086769333,-0.5402854722715827,-0.17370176621966815,-0.24983588380124094,0.44064278958892367,0.0995055794680788,0.46295313319636816,0.5730449483032463,0.32311544428105426,0.23333231122732712,0.03547499761855616,0.45119437604896745,-0.06026562263992718,-0.040733472705101116,0.1516012400450347,0.0817615265400093,0.09939081261208901,0.14881937754688904,0.025599379894696777,0.054963828081216054,0.47968584583894136,-0.18864054317896245,-0.4303511717280668,0.4313222199000662,0.3591070205765158,0.24894895755536134,0.0060073786393237336,0.592316591891415,-0.060265622639927144,-0.040733472705100915,0.15160124004503475,0.08176152654000891,0.0993908126120888,0.14881937754688906,0.02559937989469681,0.05496382808121619
density,0.4709770053715378,0.4649063390727655,0.5321236703586542,-0.3509045458500164,-0.1002685203917277,1.0,0.3289908815576963,-0.3426070500253704,0.26513726411499344,-0.2620400973745247,0.6786931913420515,0.81325290033982,0.3316259295869256,0.870851092604209,0.7616174084646207,0.1757187361604649,0.7177383859928821,0.5015514915034299,0.0846539857198547,-0.6164044288212761,0.7683897970073811,0.7458738918271597,0.03155004054613299,0.09808357798179662,0.5211183345616447,-0.5238320185346443,0.2711395281981024,0.40407868717178896,-0.4650920258023643,0.46553339939803623,0.08503693031911543,-0.33231464106998043,0.5381353903252148,0.5061578329889198,0.11082680394414154,-0.2997141383708133,0.3337636871611687,0.3294647898250405,-0.07617427623805652,0.09808357798179503,0.5211183345616445,-0.5238320185346459,0.27113952819810105,0.404078687171788,-0.4650920258023647,0.4655333993980349,0.08503693031911308
dos_at_ef_nosoc,0.656167303766236,0.11936736544251345,0.3813942730002414,-0.4180045181371774,-0.2827934883717488,0.3289908815576963,1.0,-0.5009947489649197,0.14223418639949575,-0.17533927450387443,0.28149042100169847,0.24511251566088343,0.3909428738488363,0.4002190880356138,0.3768158073600951,-0.06525639945976335,0.11217878707400664,-0.08623330037217772,-0.009346292002520698,-0.549227255073902,0.112521443263796,0.22509033320397678,-0.39362312844472713,0.08131710201117616,0.30213492799241815,-0.48741730109888054,0.09960537186426362,0.13797743345227528,-0.3796647163530857,0.18363828914054914,-0.15921235450597748,-0.2635482984343299,0.16673789276014914,0.3352936884765678,-0.26853959536027955,-0.3409357303424212,-0.11595606901109737,-0.021149340295718817,-0.3555984273507054,0.08131710201117615,0.3021349279924179,-0.4874173010988804,0.09960537186426366,0.13797743345227526,-0.37966471635308546,0.1836382891405491,-0.15921235450597773
energy,-0.45075193720339946,-0.13805711558685077,-0.14300253840576949,0.7884253628787833,0.6396384194096306,-0.3426070500253704,-0.5009947489649197,1.0,0.41493821778512324,0.40950089822002284,-0.4985097356028214,-0.2971946514770764,-0.74688345145878,-0.43458651103755536,-0.41806839235966814,0.5439913737108002,-0.08886647285547222,0.46935576000264295,0.4793104633292429,0.6564196186404203,0.13760099127860223,-0.05425424634558614,0.7844744400411333,-0.024308564278849615,-0.1822541352942136,0.5192349560462919,0.06908002455685705,0.05194322635112822,0.3777941048643385,-0.005197796086373814,0.33525099515290796,0.6355153666063921,-0.3686223367392751,-0.7001085414244457,0.49600165022357345,0.5690458447939982,0.18483803156435835,-0.10406504079818157,0.6826995945119123,-0.02430856427884953,-0.18225413529421358,0.5192349560462918,0.06908002455685683,0.05194322635112802,0.3777941048643387,-0.005197796086374245,0.33525099515290857
hform,0.16820194493843413,0.4200934403705839,0.4268670638058919,0.18354475882060656,0.2896396210017193,0.26513726411499344,0.14223418639949575,0.41493821778512324,1.0,0.3126273286394029,-0.11189556169288677,0.23853489230227992,-0.44626316773396196,0.2222105699269153,-0.05567097747639852,0.6329185217079036,0.09745220262492767,0.49958128392188655,0.733390699622565,0.04380336066069045,0.36393281516800413,0.2513994423543182,0.2675691252447884,0.09460090770327023,0.3178345472793995,-0.22669531702238277,0.23088127786890017,0.2920428879485226,-0.23111598148446205,0.3105286942977353,0.14509933465843466,0.5244617856480545,-0.10046521066495717,-0.6004372192474983,0.24321845484896684,0.5831206711116588,0.023464858147282983,-0.31822227327617586,0.18831812647683036,0.09460090770327029,0.31783454727939936,-0.2266953170223828,0.23088127786890053,0.2920428879485226,-0.23111598148446197,0.3105286942977354,0.14509933465843522
workfunction,-0.1985069403854252,-0.09849673670288582,0.0037551182915872387,0.5022080693673965,0.7095377904454592,-0.2620400973745247,-0.17533927450387443,0.40950089822002284,0.3126273286394029,1.0,-0.816745762445542,-0.031792434922097275,-0.6098354508849557,-0.18387313802609723,-0.4388418534694359,0.27340169146169,0.05344100915115333,0.297661045694819,0.7734719006271744,0.22001731933626492,0.05101257570959383,-0.16843774250794175,0.1841450660807241,-0.06582067199700456,-0.06582485443735361,-0.07036855655771176,-0.05997053424592439,-0.0810368351339523,0.010943403829065876,-0.13873794561428926,-0.20660058048991764,0.43198639207661277,-0.17048113687440034,-0.476140662439807,0.4516321655325343,0.43676673913990616,0.2585485468932055,0.019512796828144698,0.5734485887817168,-0.06582067199700489,-0.0658248544373536,-0.07036855655771235,-0.05997053424592478,-0.08103683513395274,0.010943403829065885,-0.13873794561428965,-0.2066005804899184
efermi,0.41553152270492905,0.3600940217747398,0.32063409498250345,-0.6662920590470979,-0.4643822454130728,0.6786931913420515,0.28149042100169847,-0.4985097356028214,-0.11189556169288677,-0.816745762445542,1.0,0.6026723718774244,0.6946995217181576,0.47029670602224666,0.6913846557800011,-0.157149004169664,0.18879426654567508,-0.09979467262447334,-0.5406268959260748,-0.5026922732316186,0.23136011314641186,0.4681166444742653,-0.20445630626903974,0.07325028706934275,0.3166530830914399,-0.2518648257205171,0.1691106998237456,0.2680768334648037,-0.25232598832659786,0.3398246259277795,0.16018431155638496,-0.46876342407626087,0.24530577478912724,0.5918396256129931,-0.44113526505158357,-0.5144547188394605,-0.18912938638661492,0.07361714274893437,-0.5364716308322331,0.07325028706934278,0.31665308309144,-0.2518648257205168,0.16911069982374566,0.26807683346480404,-0.2523259883265979,0.3398246259277795,0.16018431155638513
evac,0.44526202114180224,0.4875456177375644,0.5606063031758656,-0.4596185721093926,0.17687360086769333,0.81325290033982,0.24511251566088343,-0.2971946514770764,0.23853489230227992,-0.031792434922097275,0.6026723718774244,1.0,0.3599780817873183,0.5603666517199789,0.5907203716370998,0.10589626769967046,0.40094466217056834,0.23879805950086383,0.13322107257210009,-0.5664958644116079,0.4713201002432768,0.577937453018775,-0.09949305455957694,0.03585647513208167,0.4574810528308973,-0.5336083920604173,0.20999979761448492,0.3522974760546676,-0.42195266598459524,0.39678064656271556,-0.008252368045277098,-0.21456963539796134,0.1891510883051525,0.366700872170025,-0.13954109075088988,-0.28710637781827714,0.029956871475527322,0.1545082742287781,-0.13621359013034168,0.03585647513208158,0.4574810528308975,-0.5336083920604172,0.20999979761448487,0.3522974760546677,-0.42195266598459535,0.3967806465627159,-0.008252368045277379
MagpieData mean Polarizability,0.49112745882393954,0.15414505549592641,0.20139269515925987,-0.6620511380030459,-0.5402854722715827,0.3316259295869256,0.3909428738488363,-0.74688345145878,-0.44626316773396196,-0.6098354508849557,0.6946995217181576,0.3599780817873183,1.0,0.3205903683931509,0.6702112048211015,-0.33317340459765427,-0.15258822314560566,-0.48713842788810663,-0.6420360126144902,-0.7397953224453748,-0.0902812391460989,0.29331974696587054,-0.500971761847996,0.15427079723094841,0.2930032189943246,-0.3567042376482459,0.12412010446928878,0.13650635523633017,-0.35748842416219995,0.22162135204517092,-0.029384019963743367,-0.5498434305182763,0.06798837999415333,0.7225368822986846,-0.7437928879253519,-0.7865641671606878,-0.43261313872080015,0.021848384051725782,-0.7034924396524372,0.15427079723094866,0.29300321899432474,-0.3567042376482457,0.12412010446928898,0.13650635523633048,-0.3574884241622002,0.22162135204517122,-0.029384019963743575
MagpieData mean Density,0.4269372633310674,0.3201150488674379,0.3550767284777379,-0.22732920200627904,-0.17370176621966815,0.870851092604209,0.4002190880356138,-0.43458651103755536,0.2222105699269153,-0.18387313802609723,0.47029670602224666,0.5603666517199789,0.3205903683931509,1.0,0.6925304864549595,0.24461260465398665,0.6782585958556578,0.5197624369135716,0.11377564766255173,-0.6109393675064616,0.7622103085706827,0.6271700311067956,-0.05087387295500094,0.2082710200711684,0.5019700776063093,-0.5181993409748149,0.2946419351663982,0.33030732182397116,-0.5098617097985546,0.388914465977385,0.010986309058987788,-0.24324893346400306,0.741975284539163,0.47004306548568986,0.22121389397561633,-0.19307218501395068,0.4522952238353129,0.2841025726829055,-0.09167302068534545,0.20827102007116768,0.5019700776063089,-0.5181993409748159,0.2946419351663979,0.33030732182397116,-0.5098617097985554,0.3889144659773841,0.010986309058986366
MagpieData mean CovalentRadius,0.5726296735274771,0.3115638811717347,0.41231226693010187,-0.2562337379916264,-0.24983588380124094,0.7616174084646207,0.3768158073600951,-0.41806839235966814,-0.05567097747639852,-0.4388418534694359,0.6913846557800011,0.5907203716370998,0.6702112048211015,0.6925304864549595,1.0,0.15540995884160685,0.38656365981860996,0.23531831822323857,-0.22558613591537455,-0.8150666867997928,0.6260834559035678,0.8798690043532754,0.07937056091178887,0.242189932092181,0.5702147690242735,-0.4382609769894297,0.3625596759349051,0.4395277040398189,-0.5067774972153225,0.5436102359897116,0.21691741142592358,-0.5868959773963789,0.22754297070422871,0.7210763801790213,-0.24858588633094925,-0.6264475789701053,0.04437188651214358,0.40417689446345895,-0.19596185854257106,0.24218993209217868,0.570214769024272,-0.4382609769894308,0.3625596759349031,0.4395277040398177,-0.5067774972153228,0.5436102359897105,0.21691741142592144
MagpieData mean NdValence,0.019993762358034815,0.21825419468186347,0.08850310421141676,0.5033915244297051,0.44064278958892367,0.1757187361604649,-0.06525639945976335,0.5439913737108002,0.6329185217079036,0.27340169146169,-0.157149004169664,0.10589626769967046,-0.33317340459765427,0.24461260465398665,0.15540995884160685,1.0,0.024948038966143657,0.7094687705588717,0.5273861665524612,0.07659327852482804,0.5181969780451913,0.4145388444060965,0.5430644846147508,0.23059921628950153,0.3598701159852443,0.027647498826622888,0.513335973421432,0.46228025093621505,-0.12610766621103187,0.35329102173070304,0.29999791414060506,0.41839868914827777,-0.12344726086741757,-0.43414700317382304,0.2882259420335068,0.4283534003349128,0.13659683624100377,-0.08112411623133786,0.37424781722838296,0.23059921628950186,0.3598701159852442,0.027647498826623193,0.5133359734214321,0.46228025093621544,-0.1261076662110322,0.3532910217307033,0.29999791414060545
MagpieData mean NfValence,0.1554197544611789,0.13653057132662677,0.3072924677392276,0.04084428968745061,0.0995055794680788,0.7177383859928821,0.11217878707400664,-0.08886647285547222,0.09745220262492767,0.05344100915115333,0.18879426654567508,0.40094466217056834,-0.15258822314560566,0.6782585958556578,0.38656365981860996,0.024948038966143657,1.0,0.6935005171041442,0.2303054102314924,-0.2455579329903511,0.771559724228876,0.4748794965045631,0.2192270688323298,-0.06885948846340108,0.19872606154873465,-0.27499893539416415,0.04146247467025224,0.1597570384840214,-0.17273131160916025,0.17611375223761896,-0.010685626531959707,-0.27858523429620674,0.6855617974859614,0.3917639072081182,0.6330448418077417,-0.14608445554055516,0.7625756696108258,0.545869504043303,0.34194982093220466,-0.06885948846340115,0.19872606154873465,-0.27499893539416426,0.04146247467025211,0.15975703848402134,-0.17273131160916042,0.1761137522376187,-0.010685626531960101
MagpieData mean NValence,-0.019984776938367442,0.1509294523755472,0.18437806117469654,0.5162619324489377,0.46295313319636816,0.5015514915034299,-0.08623330037217772,0.46935576000264295,0.49958128392188655,0.297661045694819,-0.09979467262447334,0.23879805950086383,-0.48713842788810663,0.5197624369135716,0.23531831822323857,0.7094687705588717,0.6935005171041442,1.0,0.5664994414886326,0.054076061605565176,0.8602652183206908,0.5224810084058814,0.6396894697908062,0.07988011446475345,0.27720276827763457,-0.034839815358947,0.32762800225913696,0.36339134371770976,-0.0882979153185848,0.29362393905866196,0.2265164510143186,0.19902401497251906,0.3646883179480175,-0.13640061856379085,0.7528437675901622,0.3008587676276691,0.6898067496074956,0.32154965946943614,0.6245651256116702,0.07988011446475272,0.2772027682776341,-0.03483981535894751,0.32762800225913646,0.3633913437177094,-0.08829791531858504,0.2936239390586613,0.22651645101431792
MagpieData mean NpUnfilled,0.03382776139447175,0.1703262082184629,0.21266993947208812,0.46501898793298074,0.5730449483032463,0.0846539857198547,-0.009346292002520698,0.4793104633292429,0.733390699622565,0.7734719006271744,-0.5406268959260748,0.13322107257210009,-0.6420360126144902,0.11377564766255173,-0.22558613591537455,0.5273861665524612,0.2303054102314924,0.5664994414886326,1.0,0.10513877940138781,0.3841916279307597,0.147189629554711,0.3607967262846387,0.0030620751205409813,0.17796051460896609,-0.23859461295468493,0.08277675982634242,0.12968789605547634,-0.1711544767981505,0.12291064064878891,-0.046766179745643566,0.5587525050626485,-0.07102127538836227,-0.5508142327003829,0.5180924808356604,0.5838443269541924,0.32370000194915904,-0.02172973263791682,0.6050312976894155,0.0030620751205407233,0.17796051460896592,-0.23859461295468537,0.0827767598263423,0.12968789605547618,-0.17115447679815035,0.12291064064878891,-0.0467661797456434
PymatgenData mean X,-0.7223548990564916,-0.43193911385168965,-0.4567295140730404,0.49167969699621294,0.32311544428105426,-0.6164044288212761,-0.549227255073902,0.6564196186404203,0.04380336066069045,0.22001731933626492,-0.5026922732316186,-0.5664958644116079,-0.7397953224453748,-0.6109393675064616,-0.8150666867997928,0.07659327852482804,-0.2455579329903511,0.054076061605565176,0.10513877940138781,1.0,-0.3389090135304793,-0.6420143456684808,0.3300092910442297,-0.20723235275150395,-0.5628127183686296,0.6903564667330251,-0.22049826366149597,-0.29606603950037946,0.659712152879479,-0.43281485688187127,0.05013287314234086,0.5438669771768349,-0.12384562478968833,-0.6315015491301538,0.42039659041349686,0.6878731508535464,0.16990296897231055,-0.19387519358661495,0.4188439178217514,-0.20723235275150279,-0.5628127183686292,0.6903564667330263,-0.22049826366149522,-0.29606603950037874,0.6597121528794793,-0.4328148568818698,0.05013287314234371
PymatgenData mean atomic_mass,0.21366265798438128,0.2581803938876042,0.32049079564408295,0.3102748219842392,0.23333231122732712,0.7683897970073811,0.112521443263796,0.13760099127860223,0.36393281516800413,0.05101257570959383,0.23136011314641186,0.4713201002432768,-0.0902812391460989,0.7622103085706827,0.6260834559035678,0.5181969780451913,0.771559724228876,0.8602652183206908,0.3841916279307597,-0.3389090135304793,1.0,0.8232443741943049,0.5627482904312495,0.18157626675127694,0.4384960061736322,-0.24667390196608055,0.3279556539053896,0.39658989590799054,-0.32504633755623447,0.45825350737272635,0.25873380044052485,-0.112874520928792,0.4936543462424229,0.25336019258489,0.5466533561709757,-0.017335781466686614,0.6675382683375409,0.5189249785922655,0.4633237128832696,0.18157626675127664,0.43849600617363227,-0.2466739019660805,0.3279556539053894,0.39658989590799043,-0.32504633755623447,0.4582535073727257,0.25873380044052474
PymatgenData mean atomic_radius,0.4571546071823782,0.4352322173042469,0.4387977523075934,0.0784610886067904,0.03547499761855616,0.7458738918271597,0.22509033320397678,-0.05425424634558614,0.2513994423543182,-0.16843774250794175,0.4681166444742653,0.577937453018775,0.29331974696587054,0.6271700311067956,0.8798690043532754,0.4145388444060965,0.4748794965045631,0.5224810084058814,0.147189629554711,-0.6420143456684808,0.8232443741943049,1.0,0.4283954643801745,0.24338177300821673,0.5796786061792875,-0.37257834561498415,0.3866356732425033,0.4845552401444311,-0.47205828677334044,0.6021715984699929,0.31738390786650983,-0.39726149332514876,0.12467420636422913,0.4368863652316173,0.03894776775574096,-0.3384470412925008,0.22453521818160677,0.5031182371997954,0.1783021546763088,0.24338177300821642,0.5796786061792877,-0.3725783456149838,0.3866356732425031,0.4845552401444309,-0.4720582867733409,0.6021715984699922,0.3173839078665098
DemlData mean molar_vol,-0.33111747775963984,-0.07009437637979868,-0.07978193372426352,0.8215842601129033,0.45119437604896745,0.03155004054613299,-0.39362312844472713,0.7844744400411333,0.2675691252447884,0.1841450660807241,-0.20445630626903974,-0.09949305455957694,-0.500971761847996,-0.05087387295500094,0.07937056091178887,0.5430644846147508,0.2192270688323298,0.6396894697908062,0.3607967262846387,0.3300092910442297,0.5627482904312495,0.4283954643801745,1.0,0.1105598831050579,0.0074644290806588215,0.39826689213553157,0.157189487342874,0.15813581063156276,0.17807908765306396,0.2019584448519205,0.47483545411168876,0.24380750628722062,-0.08019505804101604,-0.2411676639689564,0.5709667462074701,0.31129285313751565,0.47624165907664007,0.3720442587885918,0.8015014053257945,0.11055988310505999,0.007464429080659428,0.39826689213553396,0.15718948734287574,0.15813581063156423,0.17807908765306454,0.20195844485192307,0.47483545411169376
